p-a-price-generated,P_price,P_number,X,Y
13.65,13.0,-1152,900430.0594977529,251638.2539212332
12.80,11.85,F1001,870726.7713477551,199950.09785639294
12.85,,F1002,873226.7713477551,199950.09785639294
13.90,14.45,F1003,890276.7712569232,200060.09785639108
13.90,14.05,F1004,895826.7713540248,200060.09785639108
13.85,13.95,F1005,898326.7713540248,200060.09785639108
13.30,13.35,F1006,901426.7713540248,200060.09785639294
12.75,,F1007,903926.7713540248,200060.09785639108
13.35,13.95,F1008,906426.7713540248,200060.09785639108
14.00,13.35,F1009,909526.7713540248,200060.09785639294
12.70,14.45,F1010,912026.7713540248,200060.09785639108
11.95,11.95,F1028,866676.7713477353,187980.09785639434
10.55,8.55,F1014,881976.7713540345,189760.0978563892
11.50,9.1,F1015,912176.7713540345,189760.09785639108
12.70,12.85,F1016,877126.7713540345,189260.0978563892
12.20,12.65,F1017,879626.7713540345,189260.0978563892
12.30,11.75,F1018,885226.7713540345,189260.0978563892
12.35,12.85,F1019,887726.7713540345,189260.0978563892
13.00,13.05,F1020,890226.7713540345,189260.0978563892
13.05,13.25,F1021,893326.7713540345,189260.0978563892
12.45,12.85,F1022,895826.7713540345,189260.09785639108
13.00,13.05,F1023,898326.7713540345,189260.09785639108
13.05,13.05,F1024,901426.7713540345,189260.0978563892
12.55,12.85,F1025,903926.7713540345,189260.09785639108
13.15,13.0,F1026,906426.7713540345,189260.09785639108
12.75,10.85,F1027,914526.7713540345,189260.09785639108
12.50,12.65,F1029,877126.7713540345,178360.09785639108
12.60,12.45,F1031,882126.7713540345,178360.09785639108
12.65,12.45,F1032,885226.7713540345,178360.09785639108
12.15,12.45,F1033,887726.7713540345,178360.09785639108
12.80,12.85,F1034,890226.7713540345,178360.09785639108
12.85,12.85,F1035,893326.7713540345,178360.09785639108
12.25,,F1036,895826.7713540345,178360.0978563892
12.80,12.85,F1037,898326.7713540345,178360.0978563892
12.85,12.85,F1038,901426.7713540345,178360.09785639108
12.35,11.65,F1039,903926.7713540345,178360.0978563892
12.95,12.35,F1040,906426.7713540345,178360.0978563892
13.05,12.75,F1041,912026.7713540345,178460.0978563892
,,F1042,914526.7713540345,178460.0978563892
12.30,,F1043,877095.1306891872,167565.23548911404
12.35,,F1044,879595.1306891872,167565.23548911404
12.40,12.65,F1045,882095.1306891872,167565.23548911404
12.50,12.65,F1046,885195.1306891872,167565.23548911404
12.55,12.45,F1047,887695.1306891872,167565.23548911404
13.05,13.25,F1048,890195.1306891872,167565.23548911404
10.95,10.05,F1049,893176.8757750983,168065.23548911404
,,F1050,898295.1306891872,167565.23548911637
12.70,,F1051,901395.1306891872,167565.23548911404
12.20,,F1052,903895.1306891872,167565.23548911637
12.75,,F1053,906395.1306891872,167565.23548911637
,,F1054,909495.1306891872,167565.23548911404
11.30,,F1055,913676.7713477549,168160.09785639108
11.25,,F1056,826826.7713540345,157750.09786230823
10.80,,F1057,829326.7713540345,157750.09786230823
11.40,,F1058,831826.7713540345,157750.09786230823
11.45,11.95,F1059,834926.7713540345,157750.09786230823
11.55,11.95,F1060,837426.7713540345,157750.09786230823
11.60,11.95,F1061,840526.7713540345,157750.09786230637
11.05,,F1062,843026.7713540345,157750.09786230823
11.70,11.65,F1063,845526.7713540345,157750.09786230823
11.25,11.15,F1064,856926.7713540345,157750.09785639108
11.30,,F1065,859426.7713540345,157750.09785639294
11.90,11.15,F1066,861926.7713540345,157750.09785639294
12.00,11.15,F1067,865026.7713540345,157750.09785639108
12.05,11.15,F1068,867526.7713540345,157750.09785639108
10.65,,F1069,826826.7713540266,152200.09785639294
10.70,,F1070,829326.7713540266,152200.09785639294
11.30,11.45,F1071,831826.7713540266,152200.09785639294
11.35,11.35,F1072,834926.7713540345,152200.09785639294
11.40,11.35,F1073,837426.7713540345,152200.09785639294
11.45,10.45,F1074,840526.7713540345,152200.09785639294
11.50,,F1075,843026.7713540345,152200.09785639294
9.95,6.45,F1076,845376.7713540345,151700.09785639294
11.60,,F1077,848826.7713540345,152200.09785639294
11.05,,F1078,851326.7713540345,152200.09785639294
11.75,11.35,F1079,853826.7713540345,152200.09785639294
11.80,11.15,F1080,856926.7713540345,152200.09785639294
11.25,10.95,F1081,859426.7713540345,152200.09785639294
11.90,10.95,F1082,861926.7713540345,152200.09785639294
11.95,10.95,F1083,865026.7713540345,152200.09785639294
12.05,10.15,F1084,867526.7713540345,152200.09785639294
10.55,6.95,F1085,829326.7713540345,141400.09785638435
11.10,,F1086,831826.7713540345,141400.09785638435
11.15,,F1087,834926.7713540345,141400.09785639294
11.20,,F1088,837426.7713540345,141400.09785639294
11.25,,F1089,840526.7713540345,141400.09785639108
11.35,,F1091,845526.7713540345,141400.09785639294
11.40,,F1092,848826.7713540345,141400.09785639294
10.90,,F1093,851326.7713540345,141400.09785639294
11.50,,F1094,853826.7713540345,141400.09785639294
11.55,,F1095,856926.7713540345,141400.09785639108
11.05,,F1096,859426.7713540345,141400.09785639294
11.65,,F1097,861926.7713540345,141400.09785639294
11.75,6.95,F1098,865026.7713540345,141400.09785639108
12.30,,-1354,876680.0243660904,88430.0978551354
,,-1402,899530.0243804125,54630.09785401995
14.30,,-101,779222.8490053935,302850.0978623068
12.70,,-1114,866580.0243660734,275843.8328020654
10.60,,-1634,759486.7087132342,202199.84592175166
10.60,,-1635,769986.7087132342,202199.84592000497
10.65,,-1636,779665.0213063125,202199.84591840822
10.60,,-1215,793680.0243598031,190200.097856392
10.55,10.95,-1222,806780.0243598031,174093.83279615288
10.85,,-1601,767530.0243598035,172950.0978615236
9.75,10.05,-1621,750930.0243660834,165000.09786152266
10.85,,-1618,761230.0243618675,160500.09786152406
10.45,10.75,-1575,783630.0243598035,159256.36292176455
11.15,11.65,-1236,817980.0243598031,157750.09785639108
,,-1258,822630.0243598031,141400.09785639294
,,-1569,760630.0243598035,117500.09785639342
9.75,,-1563,781580.3214415755,108450.09785667791
11.10,,-1449,798680.0243535234,108350.09785639106
,8.75,-1452,792730.0243598035,96700.09785639316
11.05,,-1453,794030.024359811,91300.09786230682
11.20,12.35,-1549,783230.0243597927,58300.09785640177
11.45,12.35,-1544,783030.0243598035,42700.093708166416
12.20,11.85,-1468,793330.0243598038,41250.09786230589
10.15,10.85,-1528,770980.0243597939,25150.097862305898
,,-1469,825951.8624907489,30841.761969705654
14.20,,-102,781722.8490053935,302850.0978623068
14.10,,-103,784822.8490053935,302850.0978623068
13.10,13.45,-105,789822.8490053935,302850.0978623068
13.00,13.45,-106,792922.8490053935,302850.0978623068
12.90,13.45,-107,795422.8490053935,302850.0978623068
13.80,13.45,-108,798522.8490053935,302850.0978623068
13.85,,-109,801022.8490053935,302850.0978623068
13.95,,-110,807022.8489916639,302850.0978623059
13.90,13.35,-111,809522.8489916639,302850.0978623059
13.80,12.95,-112,812622.8489916639,302843.83280206495
12.10,,-113,815122.8489916639,302850.0978464147
12.80,12.85,-114,817622.8489916639,302843.8327861738
12.70,12.45,-115,820722.8489916639,302856.36290665576
12.00,,-116,823222.8489916639,302850.0978305236
12.05,,-117,825722.8489916639,302856.3628907646
,,-118,836922.8489979439,303050.0978305236
11.55,12.25,-119,839422.8489979439,303050.0978305236
14.10,14.05,-120,841922.8489979439,303050.0978305236
14.20,13.85,-121,845022.8489916641,303043.8327702822
14.30,14.25,-122,847522.8489916641,303043.8327702822
14.20,,-123,854072.8489979439,303050.09783052315
13.25,,-124,856572.8489979439,303043.8327702822
13.15,13.95,-125,859072.8489979439,303050.09783051943
13.25,13.45,-126,862172.8489979437,303050.09783051943
12.55,13.25,-127,864672.8489979437,303050.09783051943
13.35,13.45,-128,867172.8489979437,303050.09783051943
14.35,14.05,-129,870272.8489916641,303050.09783051943
14.40,14.45,-130,872772.8489916641,303050.09783051943
,,-131,875822.8489916641,303050.09783051943
14.45,,-132,879937.8489916641,303050.0978256775
14.40,,-133,883037.8489916641,303050.0978256775
13.45,13.4,-134,885537.8489916641,303050.0978256775
13.35,,-135,888637.8489916641,303050.0978256775
12.55,,-136,891137.8489916641,303050.0978256775
13.20,13.45,-137,893637.8489916641,303050.0978256775
13.15,,-138,896737.8489916641,303050.0978256775
,,-139,900437.8490773293,303050.0978256775
,,-140,899222.8489916638,292200.09783051896
12.85,11.85,-141,896722.8489916638,292193.83277027804
12.95,,-142,893272.8495304547,292193.83277027804
13.05,,-143,889572.8494876218,292200.09783051896
13.15,13.45,-144,886472.8489979435,292193.83277027804
13.20,,-145,883972.8489979435,292200.09783051896
12.60,13.45,-147,878372.8489979435,292200.09783051896
13.30,,-148,875872.8489979435,292200.09783051896
12.35,,-150,864272.8489979338,292200.09783051896
12.95,13.25,-151,861772.8489979338,292206.36289075995
12.90,13.45,-152,858672.848991664,292200.09783051896
12.20,,-153,856172.848991664,292200.09783051896
13.05,13.45,-154,853672.848991664,292200.09783051896
13.10,13.65,-155,850572.848991664,292206.36289075995
12.30,,-156,848072.848991664,292200.09783051896
13.05,13.45,-157,845572.848991664,292206.36289075995
12.15,13.45,-159,839772.848991664,292300.09783051896
12.10,11.95,-160,837272.848991664,292300.09783051896
,,-161,825722.8489916639,292200.09783051815
11.05,12.25,-162,823222.8489916639,292200.0978305185
12.45,12.45,-163,820722.8489916639,292200.0978146277
12.50,,-164,817622.8489916639,292200.0978146277
11.85,9.85,-165,815122.8489916639,292200.0978146277
12.65,12.95,-166,812622.8489916639,292200.09779873653
12.75,12.95,-167,809522.8489916639,292200.09779873653
12.00,,-168,807022.8489916639,292200.09779873653
12.80,13.15,-169,804522.8489916639,292200.09779873653
12.60,13.45,-170,795422.8490053935,292200.0978146286
12.70,12.75,-171,792922.8490053935,292206.3628748696
12.05,13.25,-173,786972.8490053935,292200.0978146286
12.90,13.45,-174,784822.8490053935,292200.0978146286
13.00,13.45,-175,781722.8490053935,292206.3628748696
,,-177,776722.8490053935,292206.36287493666
11.35,13.25,-176,779222.8490053935,292200.0978146957
,,-178,776722.8490053935,286800.09781469475
12.90,,-179,779222.8490053935,286800.09781469475
12.85,12.75,-180,781722.8490053935,286800.0978146277
12.75,,-181,784822.8490053935,286800.0978146277
12.60,,-183,789822.8490053935,286800.0978146277
12.50,,-184,792922.8490053935,286800.0978146277
12.45,12.75,-185,795422.8490053935,286800.0978146277
12.65,,-186,804522.8489916639,286800.0978146277
11.85,,-187,807022.8489916639,286800.09779873653
12.55,12.45,-188,809522.8489916639,286800.09779873653
12.50,,-189,812622.8489916639,286800.09779873653
11.70,,-190,815122.8489916639,286800.0977828454
12.35,,-191,817622.8489916639,286800.0977828454
12.25,,-192,820722.8489916639,286800.09778284543
12.35,,-194,825722.8489916639,286800.0977669543
10.30,,-195,837572.848991664,286800.0977669543
12.00,,-196,839772.848991664,286800.0977669543
12.05,,-197,842272.848991664,286800.0977669543
12.15,,-198,845572.848991664,286800.0977669543
12.20,,-199,848072.848991664,286800.0977669543
12.95,,-1100,850380.0243598032,286800.0977669543
12.85,,-1101,853480.0243598032,286800.0977669543
12.05,,-1102,855980.0243598032,286800.0977669543
12.75,,-1103,858480.0243598032,286800.0977669543
12.80,,-1104,861580.024366073,286800.0977669543
12.95,12.45,-1106,866580.024366073,286800.0977669543
13.15,,-1107,875680.0243660826,286800.09776695335
13.15,12.95,-1109,880680.0243660826,286800.09776695335
11.55,12.95,-1110,883780.0243660826,286800.09776695335
11.50,12.45,-1111,886280.0243660826,286800.09776695335
11.30,11.7,-1113,890022.892477261,280005.6048295005
12.65,11.75,-1115,864080.0243660734,275856.3629225473
12.55,11.95,-1116,861580.0243660734,275850.09786230634
12.50,11.95,-1117,858480.0243598036,275856.3629225473
11.85,11.75,-1118,855980.0243598036,275850.09786230634
12.60,,-1119,853480.0243598036,275850.09786230634
12.65,,-1120,850380.0243598036,275850.09786230634
11.95,,-1121,847880.0243598036,275843.8328020654
10.15,7.4,-1122,845380.0243598036,275843.8328020654
11.85,,-1123,842080.0243598036,275850.09786230634
11.80,11.75,-1124,839580.0243598036,275843.8328020654
12.40,,-1125,837080.0243598036,275850.09786230634
12.25,10.25,-1127,838126.3688098133,268967.9210034058
12.20,11.95,-1676,795080.0243735326,275850.0978623059
12.25,12.45,-1677,792580.0243735326,275850.0978623059
11.70,12.25,-1679,786980.0243735326,275850.0978623059
12.45,,-1680,784130.0243735326,275850.0978623059
,,-1681,781380.0243735326,275850.0978623059
18.50,,-1682,776530.0247098343,275850.0978623059
11.40,11.35,-1659,793603.5185773921,266162.91080732556
12.15,11.4,-1661,793603.5185773921,271162.91080732556
10.15,,-1670,817280.0243598033,276350.0978470988
11.45,10.25,-1671,815080.0243598033,276350.0978470988
12.20,11.45,-1672,812580.0243598033,276350.0978470988
12.30,11.45,-1673,809480.0243598033,276350.09786298993
11.65,,-1674,807030.0243597963,276350.0978622521
12.35,11.45,-1675,804480.0243598033,276350.09786298993
12.00,,-1669,824242.1814384849,272186.2147188915
11.95,10.95,-1668,824242.1814384849,269686.2147188915
12.25,11.45,-1662,804480.0243598033,270950.09789123834
11.55,,-1663,806980.0243598003,270950.0978753472
12.15,10.45,-1664,809480.0243598003,270950.0978753472
12.10,,-1665,812580.0243598003,270950.09789123834
11.35,,-1666,815080.0243598003,270950.0978753472
10.25,,-1667,817268.2239624126,270386.2668241177
11.90,12.45,-1188,823821.6169610169,254773.4903410674
11.85,,-1189,824329.7140578051,259481.23826805045
11.80,,-1190,820629.7140149722,259481.23826805045
,,-1191,817406.7140578051,259481.23826805045
11.75,,-1192,814906.7140578051,259481.23826805045
11.85,11.95,-1193,812406.7140578051,259481.23826805045
11.90,11.45,-1194,809306.7140578051,259481.23826805045
11.30,11.25,-1195,806806.7140578051,259481.23826805045
11.95,,-1196,804306.7140578051,259481.23826805045
12.10,12.45,-1128,837072.2170549902,264424.1627603582
12.25,12.35,-1130,842072.2170549902,264424.1627603582
12.30,,-1131,845172.2170549902,264424.1627603582
12.35,,-1132,847672.2170549902,264424.1627603582
,,-1133,850172.2170549902,264424.1627603582
12.40,,-1134,853472.2170549902,264424.1627603582
11.95,,-1135,855972.2170549902,264424.1627603582
12.45,11.95,-1136,858472.2170549902,264424.1627603582
12.55,,-1137,861572.2170612599,264424.1627603582
12.60,,-1139,866572.2170612599,264424.1627603582
12.75,12.05,-1140,876212.1002834087,265903.8865121604
12.80,11.75,-1141,878496.5990141927,265897.6214519195
12.90,12.25,-1144,876774.6083544,257058.28447715237
12.75,,-1145,875509.3320841796,251892.40161981396
12.30,,-1146,878009.3320841796,251892.40161981396
12.85,,-1147,880509.3320841796,251892.40161981396
12.90,,-1148,883558.4715770587,251892.40161981396
13.00,,-1149,886058.4715770587,251892.40161981396
11.75,,-1150,888579.1989906329,251637.9962971472
11.75,,-1151,897630.0594977529,251644.26135738817
13.35,13.85,-1154,905430.0594977528,251638.2539212332
14.05,14.05,-1155,908530.0594977529,251644.51898147416
12.70,10.75,-1156,913873.9620115069,241407.056125742
12.65,13.05,-1157,911373.9620115069,241413.32118598296
13.20,13.25,-1158,908873.9620115069,241407.056125742
13.15,,-1159,905773.962011507,241407.056125742
12.50,,-1160,903273.962011507,241407.056125742
13.05,13.25,-1161,900773.962011507,241407.056125742
13.00,13.25,-1162,897673.962011507,241407.056125742
12.40,13.25,-1163,895173.962011507,241407.056125742
12.90,13.45,-1164,892673.962011507,241407.056125742
12.25,13.25,-1166,887073.962011507,241407.056125742
12.75,13.25,-1167,884573.962011507,241407.056125742
12.15,12.55,-1169,878973.962011507,241407.056125742
12.55,12.75,-1171,873373.962011507,241413.32118598296
12.60,12.75,-1170,876473.962011507,241407.056125742
12.00,11.55,-1172,870873.962011507,241407.056125742
12.45,12.75,-1173,868373.962011507,241407.056125742
11.30,10.25,-1174,865273.962011507,241407.056125742
12.10,,-1176,864006.832084179,253504.89835824762
12.55,,-1177,861506.832084179,253511.16341848858
12.50,,-1178,858406.8320686269,253504.89835824762
11.95,,-1179,855906.8320696022,253504.89835824762
12.40,,-1180,853406.8320705775,253504.89836166464
12.95,11.75,-1181,850106.8320686269,253504.89836166464
12.90,13.75,-1182,847606.8320696022,253504.89836166464
12.20,12.85,-1183,842006.8320686269,253504.89836166464
12.15,13.05,-1184,839506.8320696022,253504.89836166464
12.10,,-1185,836406.8320686269,253504.89836166464
12.10,13.25,-1186,833906.8320696022,253504.89836166464
9.20,,-1637,787321.4574960275,201410.0239984451
10.60,,-1638,789521.4574960275,201410.0239984451
10.65,,-1639,792621.4574960275,201410.0239984451
10.70,,-1640,795121.4574960275,201410.0239984451
10.75,,-1641,794618.837072638,206229.9488117379
10.80,,-1642,794618.837072638,208729.9488117379
10.85,,-1643,794618.837072638,211829.9488117379
10.45,,-1644,794618.837072638,214329.9488117379
10.95,,-1645,794618.837072638,216829.9488117379
10.55,,-1647,794618.837072638,222429.9488117379
11.10,,-1648,794618.837072638,224929.9488117379
11.15,,-1649,794618.837072638,228629.94881173808
10.75,8.15,-1651,794618.837072638,233629.94881173808
10.75,6.1,-1652,794618.837072638,237029.94880997538
10.80,,-1653,794618.8370726389,239229.94880997585
11.40,,-1654,794618.8370726389,241729.94880997585
11.50,,-1655,794618.8370726389,244829.94880997585
10.95,,-1656,794618.8370726389,247329.94880997585
11.60,,-1657,794618.8370726389,249829.94880997585
11.65,,-1658,794618.8370726389,253279.94880997585
10.90,,-1197,805829.3077630867,233663.08592070694
10.85,,-1198,805829.3077630867,231163.08592070694
11.40,,-1199,805829.3077630867,228663.08592070694
11.30,,-1200,805829.3077630867,224963.08592070677
11.20,,-1202,805829.3077630867,219963.08592070677
11.15,,-1203,805829.3077630867,216863.08592070677
10.60,,-1204,805829.3077630867,214363.08592070677
11.05,,-1205,805829.3077630867,211863.08592070677
11.00,,-1206,805829.3077630867,208763.08592070677
10.95,,-1207,805829.3077630867,206263.08592070677
10.90,,-1208,805829.3077630867,203163.08591905414
10.85,,-1209,805829.3077630867,200663.08591905414
10.80,9.05,-1211,805829.3077630867,195159.32085881298
10.90,,-1622,751930.0243597833,167200.09786152266
10.50,11.05,-1631,751930.0243597833,191500.09786152266
11.00,,-1632,751930.0243597833,194600.0978563841
,,-1633,751930.0243597833,197100.0978563841
10.45,,-1609,762230.0243598035,191650.09786152313
10.00,,-1610,762230.0243598035,189150.0978615236
10.35,,-1611,762230.0243598035,186650.0978615236
10.30,,-1614,762230.0243598035,178550.0978615236
10.35,,-1617,762230.0243598035,170450.0978615236
10.40,,-1602,767530.0243598035,175450.0978615236
10.35,,-1603,767530.0243598035,178550.0978615236
9.95,,-1604,767530.0243598035,181050.0978615236
10.35,,-1606,767530.0243598035,186650.0978615236
10.35,,-1605,767530.0243598035,183550.0978615236
10.05,,-1607,767530.0243598035,189150.0978615236
10.40,,-1608,767530.0243598035,191650.0978615236
10.15,,-1577,783630.0243598035,164856.36292176455
10.70,,-1578,783630.0243598035,167350.0978615236
10.55,11.45,-1584,783630.0243598035,183550.0978615236
10.50,,-1585,783630.0243598035,186650.0978615236
10.45,12.05,-1587,783630.0243598035,191650.09786152313
10.50,,-1588,778330.0243598035,191650.09786152313
10.10,,-1589,778330.0243598035,189150.0978615236
10.50,11.75,-1593,778330.0243598035,178550.0978615236
10.55,,-1596,778330.0243598035,170450.0978615236
10.60,,-1597,778330.0243598035,167350.0978615236
10.45,,-1598,778330.0243598035,164850.0978615236
10.50,,-1599,778330.0243598035,162350.0978615236
10.65,,-1216,793680.0243598031,184900.09785639387
10.75,,-1218,798680.0243598031,184900.09785639387
10.80,,-1219,801780.0243598032,184900.09785639387
9.80,,-1220,804280.0243598032,184900.09785639387
,,-1221,806780.0243598032,184893.83279615288
10.25,,-1212,801780.0243598032,190193.83279615102
10.15,,-1214,796180.0243598031,190193.83279615102
10.50,,-1223,804280.0243598031,174100.09785639387
11.00,,-1224,801780.0243598031,174093.83279615102
10.95,,-1225,798680.0243598031,174100.097856392
10.85,,-1227,793680.0243598031,174100.097856392
10.85,,-1228,793680.0243598031,168550.09785639387
10.95,11.65,-1230,798680.0243598031,168550.09785639387
11.00,11.65,-1231,801780.0243598031,168550.09785639387
10.50,,-1232,804280.0243598031,168550.09785639387
11.10,11.65,-1233,806780.0243598031,168550.09785639387
11.20,12.15,-1234,809880.0243598032,168550.09785639387
10.65,10.35,-1235,812380.0243598032,168550.09785639387
11.05,11.65,-1237,814880.0243598031,157750.09785639105
10.55,11.95,-1238,812380.0243598031,157750.09785639105
11.00,12.15,-1239,809880.0243598031,157750.09785639105
10.90,11.65,-1240,806780.0243598031,157750.09785639105
10.40,,-1241,804280.0243598031,157743.83279615006
10.85,11.65,-1242,801780.0243598031,157743.83279615006
10.30,11.65,-1244,796180.0243598031,157743.83279615006
10.70,11.35,-1245,793680.0243598031,157750.09785639105
10.60,,-1246,793680.0243598031,152200.09370816645
10.70,,-1248,798849.8780463923,152200.09370816645
10.75,,-1249,801765.2576107247,152081.0385307529
10.30,,-1250,804280.0243598031,152081.9136420271
10.85,,-1251,806780.0243598031,152081.9136420271
10.85,,-1252,809880.0243598031,152081.9136420271
10.45,,-1253,812380.0243598031,152081.9136420271
10.95,,-1254,814880.0243598031,152081.9136420271
11.00,,-1255,817930.0243660827,152081.9136420271
11.05,,-1256,820430.0243660827,152081.9136420271
,,-1257,822767.2668200949,151822.53401073618
10.85,,-1259,820430.0243598031,141400.09785639294
10.85,,-1260,817930.0243598031,141400.09785639294
10.80,,-1261,814880.0243598031,141400.09785639294
10.30,,-1262,812380.0243598031,141400.09785639294
10.70,,-1263,809880.0243598031,141400.09785639294
10.65,,-1264,806780.0243598031,141400.09785639294
10.20,,-1265,804280.0243598031,141400.09785639294
10.60,,-1266,801780.0243598031,141400.09785639294
10.05,,-1268,796180.0243598031,141400.09785639294
